Country,Score,GDP,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption,LGBTQRights,PrisonPopulationRate,DrugUse,AlcoholUse,SuicideRate,Poverty Rate (Percent of Population Under the Poverty Line)
Czech Republic,6.852,1.269,1.487,0.92,0.457,0.046,0.036,159,179,1.53,2.28,10.54,0.002
Malta,6.726,1.3,1.52,0.999,0.564,0.375,0.151,369,153,1.45,0.4,6.53,0.0005
Mexico,6.595,1.07,1.323,0.861,0.433,0.074,0.073,225,166,0.85,3.24,5.16,0.0004
France,6.592,1.324,1.472,1.045,0.436,0.111,0.183,339,93,1.7,3.64,12.1,0.002
Chile,6.444,1.159,1.369,0.92,0.357,0.187,0.056,255,210,0.6,2.15,9.72,0.007
Guatemala,6.436,0.8,1.269,0.746,0.535,0.175,0.078,36,139,1.85,10.82,2.94,0.59
Saudi Arabia,6.375,1.403,1.357,0.795,0.439,0.08,0.132,-176,207,1.24,0.36,3.39,0.2
Qatar,6.374,1.684,1.313,0.871,0.555,0.22,0.167,-137,53,0.73,0.44,5.84,0.6
Spain,6.354,1.286,1.484,1.062,0.362,0.153,0.079,343,122,1.3,0.49,6.12,0.0005
Panama,6.321,1.149,1.442,0.91,0.516,0.109,0.054,64,420,0.69,0.75,4.38,0.23
Brazil,6.3,1.004,1.439,0.802,0.39,0.099,0.086,307,357,0.84,4.2,6.14,0.0005
Uruguay,6.293,1.124,1.465,0.891,0.523,0.127,0.15,341,337,0.79,1.72,16.48,0.09
Singapore,6.262,1.572,1.463,1.141,0.556,0.271,0.453,20,185,0.25,0.15,7.91,0.12
El Salvador,6.253,0.794,1.242,0.789,0.43,0.093,0.074,105,572,0.51,18.54,13.54,0.32
Italy,6.223,1.294,1.488,1.039,0.231,0.158,0.03,170,89,1.01,0.33,5.54,0.0008
Bahrain,6.199,1.362,1.368,0.871,0.536,0.255,0.11,-15,234,0.87,0.62,5.65,0
Slovakia,6.198,1.246,1.504,0.881,0.334,0.121,0.014,171,190,0.88,2.31,10.15,0.004
Trinidad & Tobago,6.192,1.231,1.477,0.713,0.489,0.185,0.016,79,292,0.86,1.6,12.89,0.2
Poland,6.182,1.206,1.438,0.884,0.483,0.117,0.05,61,181,1.21,7.18,13.39,0.0008
Uzbekistan,6.174,0.745,1.529,0.756,0.631,0.322,0.24,-70,68,1.14,0.78,7.36,0.14
Lithuania,6.149,1.238,1.515,0.818,0.291,0.043,0.042,138,216,6.14,8.57,25.69,0.0003
Colombia,6.125,0.985,1.41,0.841,0.47,0.099,0.034,273,194,0.91,0.39,7,0.28
Slovenia,6.118,1.258,1.523,0.953,0.564,0.144,0.057,243,53,1.14,4.1,13.32,0.001
Nicaragua,6.105,0.694,1.325,0.835,0.435,0.2,0.127,124,332,0.7,8.79,11.87,0.29
Argentina,6.086,1.092,1.432,0.881,0.471,0.066,0.05,274,230,1.55,1.5,9.07,0.26
Romania,6.07,1.162,1.232,0.825,0.462,0.083,0.005,123,116,2.42,2.18,7.96,0.22
Cyprus,6.046,1.263,1.223,1.042,0.406,0.19,0.041,188,86,1.2,0.49,4.53,0.24
Ecuador,6.028,0.912,1.312,0.868,0.498,0.126,0.087,253,224,1.42,2.98,7.21,0.21
Thailand,6.008,1.05,1.409,0.828,0.557,0.359,0.028,130,449,0.96,2.79,12.91,0.07
Latvia,5.94,1.187,1.465,0.812,0.264,0.075,0.064,98,175,1.96,8.25,17.16,0.004
South Korea,5.895,1.301,1.219,1.036,0.159,0.175,0.056,93,105,0.24,1.17,20.2,0.14
Estonia,5.893,1.237,1.528,0.874,0.495,0.103,0.161,197,173,7.19,11.4,14.37,0.0006
Jamaica,5.89,0.831,1.478,0.831,0.49,0.107,0.028,-143,137,0.28,0.3,2.04,0.17
Mauritius,5.888,1.12,1.402,0.798,0.498,0.215,0.06,19,218,0.73,3.1,7.29,0.08
Japan,5.886,1.327,1.419,1.088,0.445,0.069,0.14,83,38,0.34,0.26,14.3,0
Honduras,5.86,0.642,1.236,0.828,0.507,0.246,0.078,115,237,0.94,2.82,3.39,0.29
Kazakhstan,5.809,1.173,1.508,0.729,0.41,0.146,0.096,-1,157,4.66,4.62,22.79,0.02
Bolivia,5.779,0.776,1.209,0.706,0.511,0.137,0.064,245,164,2,4.09,12.89,0.38
Hungary,5.758,1.201,1.41,0.828,0.199,0.081,0.02,131,169,0.66,2.78,13.57,0.001
Paraguay,5.743,0.855,1.475,0.777,0.514,0.184,0.08,40,241,0.44,3.5,9.29,0.22
Peru,5.697,0.96,1.274,0.854,0.455,0.083,0.027,211,290,2.25,1.55,5.08,0.22
Portugal,5.693,1.221,1.431,0.999,0.508,0.047,0.025,359,111,0.66,1.06,8.62,0.0004
Pakistan,5.653,0.677,0.886,0.535,0.313,0.22,0.098,-89,38,0.75,0.67,3.08,0.29
Russia,5.648,1.183,1.452,0.726,0.334,0.082,0.031,-1,332,10.73,14.54,26.54,0.13
Philippines,5.631,0.807,1.293,0.657,0.558,0.117,0.107,44,200,0.75,1.79,3.72,0.21
Serbia,5.603,1.004,1.383,0.854,0.282,0.137,0.039,181,158,0.66,2.37,10.86,0.09
Montenegro,5.523,1.051,1.361,0.871,0.197,0.142,0.08,139,172,1.84,1.09,7.91,0.08
Tajikistan,5.467,0.493,1.098,0.718,0.389,0.23,0.144,25,121,1.87,1.65,3.34,0.001
Croatia,5.432,1.155,1.266,0.914,0.296,0.119,0.022,188,84,1.75,3.17,11.52,0.19
Dominican Republic,5.425,1.015,1.401,0.779,0.497,0.113,0.101,48,243,0.88,1.84,10.46,0.3
Bosnia and Herzegovina,5.386,0.945,1.212,0.845,0.212,0.263,0.006,115,83,0.57,2.62,6.4,0.17
Turkey,5.373,1.183,1.36,0.808,0.195,0.083,0.106,48,335,1.09,0.29,7.19,0.22
Malaysia,5.339,1.221,1.171,0.828,0.508,0.26,0.024,-163,212,1.26,1.32,6.17,0.04
Belarus,5.323,1.067,1.465,0.789,0.235,0.094,0.142,53,345,8.23,10.03,21.36,0.05
Greece,5.287,1.181,1.156,0.999,0.067,0,0.034,175,107,2.37,0.21,3.78,0.002
Mongolia,5.285,0.948,1.531,0.667,0.317,0.235,0.038,108,154,1.09,10.37,13.25,0.29
North Macedonia,5.274,0.983,1.294,0.838,0.345,0.185,0.034,109,105,0.36,0.63,6.25,0.21
Nigeria,5.265,0.696,1.111,0.245,0.426,0.215,0.041,-195,32,5.29,2.84,17.33,0.4
Kyrgyzstan,5.261,0.551,1.438,0.723,0.508,0.3,0.023,30,161,4.06,6.6,9.07,0.22
Algeria,5.211,1.002,1.16,0.785,0.086,0.073,0.114,-96,153,1.09,0.26,3.32,0.23
Morocco,5.208,0.801,0.782,0.782,0.418,0.036,0.076,-96,238,1.21,0.19,3.05,0.15
Azerbaijan,5.208,1.043,1.147,0.769,0.351,0.035,0.182,7,208,1.57,4.72,2.57,0.05
Lebanon,5.197,0.987,1.224,0.815,0.216,0.166,0.027,-70,205,1.59,0.32,3.25,0.28
