Overall rank,Country or region,Score,GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption,LGBTQ+ Rights,Poverty Rate (Percent of Population Under the Poverty Line),Prison Population Rate,"Drug Use (Death Rate Per 100,000)","Alcohol Use (Death Rate per 100,00)","Suicide Rate (Death Rate Per 100,000) "
59,Honduras,5.86,0.642,1.236,0.828,0.507,0.246,0.078,115,0.29,237,0.94,2.82,3.39
60,Kazakhstan,5.809,1.173,1.508,0.729,0.41,0.146,0.096,-1,0.02,157,4.66,4.62,22.79
61,Bolivia,5.779,0.776,1.209,0.706,0.511,0.137,0.064,245,0.38,164,2,4.09,12.89
62,Hungary,5.758,1.201,1.41,0.828,0.199,0.081,0.02,131,0.001,169,0.66,2.78,13.57
63,Paraguay,5.743,0.855,1.475,0.777,0.514,0.184,0.08,40,0.22,241,0.44,3.5,9.29
65,Peru,5.697,0.96,1.274,0.854,0.455,0.083,0.027,211,0.22,290,2.25,1.55,5.08
66,Portugal,5.693,1.221,1.431,0.999,0.508,0.047,0.025,359,0.0004,111,0.66,1.06,8.62
67,Pakistan,5.653,0.677,0.886,0.535,0.313,0.22,0.098,-89,0.29,38,0.75,0.67,3.08
68,Russia,5.648,1.183,1.452,0.726,0.334,0.082,0.031,-1,0.13,332,10.73,14.54,26.54
69,Philippines,5.631,0.807,1.293,0.657,0.558,0.117,0.107,44,0.21,200,0.75,1.79,3.72
70,Serbia,5.603,1.004,1.383,0.854,0.282,0.137,0.039,181,0.09,158,0.66,2.37,10.86
73,Montenegro,5.523,1.051,1.361,0.871,0.197,0.142,0.08,139,0.08,172,1.84,1.09,7.91
74,Tajikistan,5.467,0.493,1.098,0.718,0.389,0.23,0.144,25,0.001,121,1.87,1.65,3.34
75,Croatia,5.432,1.155,1.266,0.914,0.296,0.119,0.022,188,0.19,84,1.75,3.17,11.52
77,Dominican Republic,5.425,1.015,1.401,0.779,0.497,0.113,0.101,48,0.3,243,0.88,1.84,10.46
78,Bosnia and Herzegovina,5.386,0.945,1.212,0.845,0.212,0.263,0.006,115,0.17,83,0.57,2.62,6.4
79,Turkey,5.373,1.183,1.36,0.808,0.195,0.083,0.106,48,0.22,335,1.09,0.29,7.19
80,Malaysia,5.339,1.221,1.171,0.828,0.508,0.26,0.024,-163,0.04,212,1.26,1.32,6.17
81,Belarus,5.323,1.067,1.465,0.789,0.235,0.094,0.142,53,0.05,345,8.23,10.03,21.36
82,Greece,5.287,1.181,1.156,0.999,0.067,0,0.034,175,0.002,107,2.37,0.21,3.78
83,Mongolia,5.285,0.948,1.531,0.667,0.317,0.235,0.038,108,0.29,154,1.09,10.37,13.25
84,North Macedonia,5.274,0.983,1.294,0.838,0.345,0.185,0.034,109,0.21,105,0.36,0.63,6.25
85,Nigeria,5.265,0.696,1.111,0.245,0.426,0.215,0.041,-195,0.4,32,5.29,2.84,17.33
86,Kyrgyzstan,5.261,0.551,1.438,0.723,0.508,0.3,0.023,30,0.22,161,4.06,6.6,9.07
88,Algeria,5.211,1.002,1.16,0.785,0.086,0.073,0.114,-96,0.23,153,1.09,0.26,3.32
89,Morocco,5.208,0.801,0.782,0.782,0.418,0.036,0.076,-96,0.15,238,1.21,0.19,3.05
90,Azerbaijan,5.208,1.043,1.147,0.769,0.351,0.035,0.182,7,0.05,208,1.57,4.72,2.57
